Document type,Title,No.,Topic area , Models and Strategies ,Biological endpoints,Experimental systems,EUProject,Regulatory  information,Supplementary materials (Downloads)
Method summary,Preservation of liver slices - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Human Origin
Liver slices",,"Hand-cut liver slices
Precision-cut liver slices",,,
Protocol,Automated In Vitro Dermal Absorption (AIDA) Procedure,53,Percutaneous Absorption,"Animal Origin
Human Origin
Non viable isolated tissues (epidermal membranes & full thickness skin)","Dermal absorption
Incorporation of radiolabels",Skin (human),,,
Method summary,"Protein Determination Assays (Lowry, Kenacid Blue, Coomassie Blue) - Summary",0,Eye Irritation,"Animal Origin
Cell Lines
Human Origin
Primary Cell Culture",Protein content: total,"3T3 - Mouse fibroblasts
L-929 - Mouse subcutaneous connective tissue cell line
SIRC - Rabbit cornea epithelial cell line",,,
Protocol,Frame Neutral Red Release Assay,54,Eye Irritation,"Animal Origin
Cell Lines","Cell viability
Vital dye release: Neutral Red (NRR)",3T3 L1 - Mouse embryo fibroblast cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2004-03,
Method summary,QSAR model for the prediction of LXR binding potential.,169,Systemic Toxicity,"(Q)SARs
Mathematical Models (in silico)",Receptor binding: Liver X receptor (LXR),<em>In silico</em>,SEURAT-1,,
Protocol,Pollen Tube Growth Test (PTG-Test),55,Eye Irritation,"Plants
Primary Cell Culture",Pollen tube growth,Pollen (tobacco),,,
Method summary,Quantitative Structure-Activity Relationships (QSAR) to predict reproductive toxicity - Summary,0,Effects on the female fertility,(Q)SARs,,<em>In silico</em>,,,
Protocol,Hen's Egg Test -Yolk-Sac Blood Vessel Assay,56,Eye Irritation,"Animal Origin
IN OVO METHODS","Haemorrhage
Hyperaemia",Yolk sac blood vessel system (chick embryo),,,
Protocol,Human and Bovine Lens Epithelial Culture,57,Primary cell culture method,"Animal Origin
Human Origin
Primary Cell Culture",Cell proliferation,"Corneal epithelial cells (bovine)
Corneal epithelial cells (human)
Eye lens (bovine)
Eye lens (human)",,,
Protocol,UV Absorption as an Approximation for Cell Number,58,Basal Cytotoxicity,"Cell Lines
Human Origin","Cell number
DNA synthesis
Incorporation of radiolabels",CCD-18Lu - Human lung fibroblast cell line,,,
Method summary,Quantitative Structure-Activity Relationships (QSARs) for predicting Eye Irritation - Summary,0,Eye Irritation,(Q)SARs,,,,,
Protocol,In vitro Fertilization Sperm Toxicity Test,59,Effects on the male fertility,"Animal Origin
Primary Cell Culture","Cell morphology
Oocyte fertilisation
Sperm function",Gametes culture,,,
Method summary,Rabbit Isolated Terminal Ileum Model - Summary,2,Eye Irritation,Animal Origin,Ileum contractions,Ileum (rabbit),,,
Protocol,Eye Lens Organ Culture,60,Eye Irritation,"Animal Origin
Eye & Eye Parts","Focal length variability
Optical transparency",Eye lens (bovine),,,
Protocol,An In Vitro Model for Studies of Prostaglandin H Synthase (PHS) - Mediated Genotoxicity of Xenobiotics,61,Genotoxicity/Mutagenicity,"Animal Origin
Cell Lines","Chromosomal damage: micronuclei formation
Metabolic activity",Seminal Vesicles (ram),,,
Protocol,Screening System of Promoters Using RAS Transfected BALB 3T3 Clone (Bhas 42),62,Tumour promotion,"Animal Origin
Cell Lines
Genetically Engineered Cells",Cell morphology,"BALB/3T3 clone A31 - Mouse fibroblast cell line
Bhas 42 - Engineered mouse embryo BALB 3T3 cell line",,,
Protocol,alpha-Methyl Glucose Uptake in Isolated Proximal Tubular Cells,63,Nephrotoxicity,"Animal Origin
Cell Lines","<em>Alpha-</em>methyl glucose uptake
Cell viability",Proximal tubular cells (rat),,,
Method summary,Reconstituted Cornea Models using Immortalized Human Corneal Cells –Summary,0,Eye Irritation,"Cell Lines
Co-cultures
Corneal Models
Human Origin","Cell viability
Corneal opacity
Gene expression profiling (omics techniques)",Reconstituted corneal model,,,
Protocol,Neutral Red Uptake (NRU) Cytotoxicity Assay,64,Eye Irritation,"Animal Origin
Cell Lines","Cell morphology
Cell viability
Protein content: total
Vital dye uptake: Neutral Red (NRU)","BALB/c 3T3 - Mouse fibroblast cell line
HepG<sub>2</sub> - Human hepatoma cell line",,,
Protocol,Lucifer Yellow Intercellular Exchange Assay for Tumour Promotors,65,Tumour promotion,"Animal Origin
Cell Lines",Cell-cell contact: gap junction integrity,SV-40-transformed Djungarian hamster fibroblasts,,,
Protocol,In Vitro Prediction of the Maximum Tolerated Dose,66,Systemic Toxicity,"Animal Origin
Cell Lines
Human Origin
Primary Cell Culture","Cell function: membrane damage
Cell morphology
Cell viability","Hepatocytes (rat)
McCoy - Human epithelial cells from synovial fluid
MDBK - Madin-Darby bovine kidney cell line",,,
Protocol,Serum-Free Liver Mitogen Test,67,Tumour promotion,"Animal Origin
Primary Cell Culture","Cell proliferation
DNA synthesis
Incorporation of radiolabels",Hepatocytes (rat),,,
Method summary,Reconstructed Rabbit Corneal Epithelium (RCE) Model  - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Corneal Models","Cell viability
Restoration rate",RCE - Rabbit corneal epithelial cell line,,,
Protocol,Embryotoxicity testing using a whole embryo culture (WEC) procedure,68,Developmental toxicity,EMBRYO CULTURE,"Cell differentiation
Cell morphology
Embryo growth
Embryo viability",Whole embryo culture (mouse),,,
Protocol,Primary Human Hepatocyte Cultures from Small Surgical Biopsies,69,Primary cell culture method,"Animal Origin
Primary Cell Culture","Cell viability
Protein synthesis",Hepatocytes (human),,,
Method summary,Reconstructed skin models for percutaneous absorption testing - Summary,0,Percutaneous Absorption,"Animal Origin
Human Origin
Viable Skin Explants","Flux (across skin models)
Relative absorption","EpiDerm<sup>TM</sup>
EPISKIN&#8482
Reconstituted dermal model
RHE SkinEthic<sup>TM</sup>",,,
Protocol,The Isolated Pig-Ear Skin Permeation Model,70,Percutaneous Absorption,"Animal Origin
Perfused Skin",Skin permeation,Skin (pig ear),,,
Method summary,Red Blood Cell (RBC) Test - Summary,37,Eye Irritation,Animal Origin,"Haemolysis
Protein denaturation",Erythrocytes (mammalian),,https://tsar.jrc.ec.europa.eu/test-method/tm2004-04,
Protocol,Fluorescein Leakage (FL) Test,71,Eye Irritation,"Animal Origin
Cell Lines","Cell-cell contact: tight junction integrity
Fluorescein leakage (FL)",MDCK - Madin-Darby canine kidney cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2004-02,
Protocol,Rat Whole Embryo Culture (WEC),72,Developmental toxicity,"Animal Origin
EMBRYO CULTURE","Cell differentiation
Embryo growth
Embryo morphology
Embryo viability",Whole embryo culture (rat),,,
Protocol,Two-Compartment Human Tissue Cytotoxicity Test,73,Basal Cytotoxicity,"Animal Origin
Human Origin
Primary Cell Culture
SUBCELLULAR FRACTION",Cell viability,"Erythrocytes (human)
Liver microsomes (human)
Mononuclear leucocytes (human)",,,
Protocol,Tetrahymena thermophyla Chemosensory Response,74,Aquatic Short-Term Toxicity,Microorganisms,Chemotaxis,Protozoa (<em>Tetrahymena thermophila</em>),,,
Protocol,Tetrahymena Proliferation Rate and Maximal Density,75,Aquatic Short-Term Toxicity,Microorganisms,"Cell number
Cell proliferation",Protozoa (<em>Tetrahymena thermophila</em>),,,
Protocol,Tetrahymena Assay for Membrane-Stabilising Activity,76,Aquatic Short-Term Toxicity,Microorganisms,"Cell function: membrane damage
Swimming speed",Protozoa (<em>Tetrahymena pyriformis</em>),,,
Protocol,The Complement Photoactivation Assay,77,Phototoxicity,Human Origin,Complement system activiation,Blood plasma (human),,,
Protocol,3T3 Neutral Red Uptake (NRU) Phototoxicity Assay,78,Phototoxicity,"Animal Origin
Cell Lines","Cell viability
Vital dye uptake: Neutral Red (NRU)",BALB/c 3T3 - Mouse fibroblast cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm1994-01,
Protocol,The Frame Modified Phototoxicity Assay Using Human Keratinocyte Monolayer Culture,79,Phototoxicity,"Human Origin
Primary Cell Culture","Cell viability
Vital dye uptake: Neutral Red (NRU)",Keratinocytes (human),,,
Protocol,Chicken Enucleated Eye Test (CEET) / Isolated Chicken Eye (ICE) test,80,Eye Irritation,"Animal Origin
Eye & Eye Parts","Corneal opacity
Corneal thickness
Fluorescein retention",Enucleated eye (chicken),,,
Protocol,Red Blood Cell (RBC) Photo Assay - Photohaemolysis and Haemoglobin Oxidation,81,Phototoxicity,"Animal Origin
Human Origin
Primary Cell Culture","Haemolysis
Methaemoglobin formation",Erythrocytes (human),,,
Protocol,Fixed Dose Procedure for the Fluorescein Leakage (FL) Test,82,Eye Irritation,"Animal Origin
Cell Lines","Cell-cell contact: tight junction integrity
Cell-cell contact: tight junction integrity
Fluorescein leakage (FL)",MDCK - Madin-Darby canine kidney cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2004-02,
Protocol,ATS SKIN2 TM ZK 1350 Phototoxicity Assay,83,Phototoxicity,"Human Origin
Lattice Culture of Skin Fibroblasts
Primary Cell Culture","Cell viability
Vital dye reduction: MTT to formazan",SKIN<sup>2</sup>&#8482; Tissue Model (ZK1350),,,
Protocol,SOLATEX-PI Phototoxicity Test,84,Phototoxicity,"BIO-CHEMICALS & POLYMERS
PHYSICO-CHEMICAL ASSAYS","Cell function: membrane damage
Protein content: total",SOLATEX-PI,,,
Protocol,Rabbit Enucleated Eye Test (REET),85,Eye Irritation,"Animal Origin
Eye & Eye Parts","Corneal opacity
Corneal thickness
Fluorescein retention",Enucleated eye (rabbit),,,
Method summary,Release of the cytoplasmic enzyme lactate dehydrogenase (LDH) to the medium applied to neural cells - Summary,0,Neurotoxicity,Primary Cell Culture,"Cell function: membrane damage
Enzyme leakage: Lactate DeHydrogenase (LDH)","Mouse astrocytes
Neurons in culture
Placenta explants",,,
Protocol,Trans-Epithelial Permeability (TEP) Assay,86,Eye Irritation,"Animal Origin
Cell Lines",Fluorescein leakage (FL),MDCK - Madin-Darby canine kidney cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2004-02,
Protocol,Arachidonic Acid Release as a Measure of Membrane Toxicity,87,Skin Irritation and Corrosivity,"Cell Lines
Human Origin",Cell function: membrane damage,U937 - Human histiocytic lymphoma cell line,,,
Protocol,DNA Binding in Bacteria,88,Genotoxicity/Mutagenicity,Microorganisms,DNA damage: adduct formation,Salmonella typhimurium,,,
Protocol,DNA Binding Studies for Alkylating Compounds Using Isolated Perfused Rat Liver,89,Genotoxicity/Mutagenicity,"Animal Origin
Perfused liver",DNA damage: adduct formation,Isolated perfused rat liver (IPRL),,,
Protocol,Isolation of Rat Type II Alveolar Epithelial Cells,90,Primary cell culture method,"Animal Origin
Primary Cell Culture",,"Cell line cultures
Lung epithelial cells (rat)",,,
Protocol,alpha-Methyl Glucose Uptake in Primary Cultures of Proximal Tubular Cells,91,Nephrotoxicity,"Animal Origin
Primary Cell Culture",<em>Alpha-</em>methyl glucose uptake,Proximal tubular cells (rat),,,
Protocol,Culture of Human Cumulus Granulosa Cells,92,Effects on the female fertility,Primary Cell Culture,Cellular functional parameters,Ovarian granulosa cells culture (human),ReProTect,,
Method summary,ReProComet Assay (Modified In Vitro Sperm Comet Assay) - Summary,126,Effects on the male fertility,Animal Origin,"DNA damage: strand breakage
Sperm viability",Spermatozoa,ReProTect,,
Protocol,Spontaneously Contracting Cultured Rat Skeletal Muscle Cells for Testing Toxic Effects on Excitable Tissues,93,Cardiotoxicity,"Animal Origin
Primary Cell Culture","Cell function: membrane damage
Enzyme leakage: Creatine Kinase (CK)
Metabolic effects
Spontaneous contractility of myotubes",Skeletal myocytes (rat),,,
Protocol,Photosensitized Oxidation of Histidine,94,Phototoxicity,"BIO-CHEMICALS & POLYMERS
PHYSICO-CHEMICAL ASSAYS",Histidine oxidation,Histidine,,,
Protocol,Photobinding to Protein,95,Photoallergenicity,"BIO-CHEMICALS & POLYMERS
PHYSICO-CHEMICAL ASSAYS",Protein binding,Serum Albumin (human),,,
Protocol,Hen's Egg Test on the Chorioallantoic Membrane (HET-CAM),96,Eye Irritation,"Animal Origin
IN OVO METHODS","Blood coagulation: intravascular and extravasular
Blood vessel lysis
Haemorrhage",Chorioallantoic Membrane (CAM) (chicken egg),,,
Method summary,Resazurin (Alamar BlueTM) Cytotoxicity Assay - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Human Origin
Primary Cell Culture",Vital dye reduction: Resazurin (Alamar Blue),"CEPI - Human corneal epithelial cell line
Corneal endothelial cells (rabbit)
Corneal epithelial cells (bovine)",,,
Protocol,Silicon Microphysiometer (SM) Toxicity Test - Microbiological Associates,97,Eye Irritation,"Animal Origin
Cell Lines",Metabolic activity,"L-929 - Mouse subcutaneous connective tissue cell line
Potentiometric pH probe biosensor",,,
Method summary,Saarbruecken Penetration Model (SB-M) - Summary,0,Percutaneous Absorption,"Animal Origin
Human Origin",Dose absorbed,"Skin (human)
Skin (pig ear)",,,
Protocol,Bovine Corneal Opacity and Permeability (BCOP) Assay (Method of Gautheron),98,Eye Irritation,"Animal Origin
Eye & Eye Parts","Corneal opacity
Corneal permeability",Cornea (bovine),,,
Protocol,Red Blood Cell (RBC) Lysis and Protein Denaturation,99,Eye Irritation,Animal Origin,"Haemolysis
Protein denaturation",Erythrocytes (mammalian),,https://tsar.jrc.ec.europa.eu/test-method/tm2004-04,
Protocol,Neutral Red Uptake (NRU) Bioassay Using BALB/c 3T3 Cells,100,Eye Irritation,"Animal Origin
Cell Lines","Cell viability
Vital dye uptake: Neutral Red (NRU)",BALB/c 3T3 - Mouse fibroblast cell line,,,
Protocol,Colony Forming Unit-Granulocyte/Macrophage (CFU-GM) Assay,101,Haematotoxicity,"Animal Origin
Human Origin
Primary Cell Culture","Cell proliferation
Colony formation","Bone marrow (murine)
Cord blood (human)",ACuteTox,https://tsar.jrc.ec.europa.eu/test-method/tm2000-01,
Protocol,The Silicon Microphysiometer (SM) Toxicity Test - Procter and Gamble,102,Eye Irritation,"Animal Origin
Cell Lines",Metabolic activity,"L-929 - Mouse subcutaneous connective tissue cell line
Potentiometric pH probe biosensor",,,
Protocol,Cutaneous Toxicity Testing  Using Skin Organ Culture,103,Skin Irritation and Corrosivity,"Animal Origin
Human Origin
Non viable isolated tissues (epidermal membranes & full thickness skin)","Cell proliferation
Vital dye reduction: MTT to formazan","Skin (rabbit, pig, human)",,,
Protocol,The Methylcellulose Cell Culture Test System,104,Biocompatibility & Safety of Medical Devices,"Cell Lines
Human Origin","Cell morphology
Cell number",PK84 - Human skin fibroblast cell line,,,
Protocol,Creatine Kinase Activity in Rat Myocytes as a Model for Assessing Muscle Irritation,105,Myotoxicity,"Animal Origin
Primary Cell Culture",Enzyme activity: Creatine kinase (CK),Skeletal myocytes (rat),,,
Protocol,Embryonic Myocardial Myocyte Reaggregation Cultures as a Model for Cardiotoxicity,106,Cardiotoxicity,"Animal Origin
Myocardial Reaggregates
Primary Cell Culture","Cell morphology
Enzyme leakage: Lactate DeHydrogenase (LDH)",Myocardial myocytes (chick embryo),,,
Protocol,Use of Stable Cell Lines Expressing Cytochromes CYP cDNA in Toxicity Testing,107,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Cell Lines
Genetically Engineered Cells","Chromosomal damage: micronuclei formation
Metabolic competence
Vital dye uptake: Neutral Red (NRU)",V79 - Chinese hamster fibroblast cell line,,,
Protocol,CAM-TBS Test,108,Eye Irritation,"Animal Origin
IN OVO METHODS",Cell viability,Chorioallantoic Membrane (CAM) (chicken egg),,,
Method summary,Sea Urchin Model - Summary,0,Developmental toxicity,"Animal Origin
EMBRYO CULTURE","Apoptosis
Morphological effects",Sea urchin,,,
Protocol,Haemoglobin Denaturation as a Model for Predicting Irritancy,109,Eye Irritation,"BIO-CHEMICALS & POLYMERS
PHYSICO-CHEMICAL ASSAYS",Protein denaturation,Haemoglobin (bovine),,,
Method summary,Seminiferous Tubules Cultures - Summary,0,Effects on the male fertility,"Animal Origin
Primary Cell Culture","Cell morphology
Cell number
Cell viability
Cellular functional parameters
Chromosomal damage: micronuclei formation
DNA damage: strand breakage
DNA damage: strand breakage",Seminiferous tubules cultures,,,
Protocol,EYTEXTM Protocol,110,Eye Irritation,"BIO-CHEMICALS & POLYMERS
PHYSICO-CHEMICAL ASSAYS",Optical density,Protein matrix,,,
Method summary,Sensory Neuronal Cell Model to Assess Mild Eye Irritants - Summary,0,Eye Irritation,"Cell Lines
Human Origin","Ion channel function, calcium",SH-SY5Y - Human neuroblastoma cell line,,,
Protocol,Protein (Photo-)Binding Assay,111,Photoallergenicity,"BIO-CHEMICALS & POLYMERS
Human Origin
PHYSICO-CHEMICAL ASSAYS",Protein binding,Serum Albumin (human),,,
Protocol,CYP1A1-Inducing Potency and Cytotoxicity Test in the Hepa-1 Mouse Hepatoma Cell Line,112,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Cell Lines","Enzyme activity
Enzyme activity: Aryl Hydrocarbon Hydroxylase (AHH)
Enzyme activity: Cytochrome P450 oxidoreductase (CYP)
Enzyme activity: EthoxyResorufin O-Deethylase (EROD)",Hepa-1 - Mouse hepatoma cell line,,,
Protocol,Embryonic Stem Cell Test (EST),113,Developmental toxicity,Stem Cells,"Cell differentiation
Cell proliferation
Cell viability
Vital dye reduction: MTT to formazan","BALB/3T3 clone A31 - Mouse fibroblast cell line
D3 - Mouse embryonic stem cells",ReProTect,https://tsar.jrc.ec.europa.eu/test-method/tm1999-01,
Method summary,Sertoli Cell Enriched Cultures - Summary,0,Effects on the male fertility,"Cell Lines
Primary Cell Culture","Apoptosis
Cell morphology
Cell proliferation
Cell viability
Cell-cell contact: gap junction integrity
Cell-cell contact: tight junction integrity
Cellular functional parameters
Gene expression profiling (omics techniques)
Gene expression: Androgen binding protein
Gene expression: Biomarkers
Gene expression: Cyclin D1
Gene expression: Transferrin
Generation of Reactive Oxygen Species (ROS)
Lipid peroxidation",Sertoli cell-enriched culture,ReProTect,,
Protocol,In Vitro Micromass Teratogen Assay,114,Developmental toxicity,"Animal Origin
Primary Cell Culture","Cell differentiation
Cell number
Cell proliferation
Cell viability
Vital dye uptake: Neutral Red (NRU)","Embryonic limb bud cultures (mouse, rat, chick)
Embryonic rat mid- brain (mesencephalon) culture",,,
Protocol,Rat Skin Transcutaneous Electrical Resistance (TER) Test,115,Skin Irritation and Corrosivity,"Animal Origin
Viable Skin Explants","Transcutaneous electrical resistance
Vital dye binding: S<span id=""id_prot=703-outerCt"">ulforhodamine B</span>",Skin (rat),,https://tsar.jrc.ec.europa.eu/test-method/tm1995-01,
Protocol,CORROSITEX® Continuous Time Monitor Assay,116,Skin Irritation and Corrosivity,"BIO-CHEMICALS & POLYMERS
Lattice Culture of Skin Fibroblasts",Passage through a biobarrier,Corrositex; Biobarrier Membrane,,https://tsar.jrc.ec.europa.eu/test-method/tm1998-01,
Protocol,SKIN2 TM ZK 1350 Corrosivity Test,117,Skin Irritation and Corrosivity,"Human Origin
Lattice Culture of Skin Fibroblasts","Cell viability
Vital dye reduction: MTT to formazan",SKIN2<; Tissue Model (ZK1350),,,
Protocol,EpiSkinTM Skin Corrosivity Test,118,Skin Irritation and Corrosivity,"Human Origin
Lattice Culture of Skin Fibroblasts","Cell viability
Vital dye reduction: MTT to formazan",RHE EpiSkinTM,,https://tsar.jrc.ec.europa.eu/test-method/tm1998-02,
Protocol,EpiDerm TM Skin Corrosivity Test,119,Skin Irritation and Corrosivity,"Human Origin
Lattice Culture of Skin Fibroblasts","Cell viability
Vital dye reduction: MTT to formazan",RHE EpiDermTM,,https://tsar.jrc.ec.europa.eu/test-method/tm1998-03,
Protocol,Fluorescein Leakage (FL) Test - SOP of L'Oreal,120,Eye Irritation,"Animal Origin
Cell Lines",Fluorescein leakage (FL),MDCK - Madin-Darby canine kidney cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2004-02,
Protocol,EpiDermTM Phototoxicity Assay,121,Phototoxicity,"Human Origin
Lattice Culture of Skin Fibroblasts","Cell viability
Vital dye reduction: MTT to formazan",RHE EpiDerm<sup>TM</sup>,,,
Protocol,The Micromass Test - Method of Brown,122,Developmental toxicity,"Animal Origin
Primary Cell Culture","Cell differentiation
Cell proliferation
Cell viability
Vital dye uptake: Neutral Red (NRU)","Embryonic limb bud cultures (mouse, rat, chick)",,https://tsar.jrc.ec.europa.eu/test-method/tm1999-02,
Method summary,Sertoli-Germ Cells Cocultures - Summary,0,Effects on the male fertility,Co-cultures,"Apoptosis
Cell function: membrane damage
Cell morphology
Cell proliferation
Cell viability
Cellular functional parameters
Gene expression profiling (omics techniques)
Germ cell detachment",Sertoli-germ cell co-cultures,,,
Protocol,Embryotoxicity Testing in Post-Implantation Whole Embryo Culture (WEC) - Method of Piersma,123,Developmental toxicity,EMBRYO CULTURE,"Cell viability
Embryo functionalities
Embryo growth
Embryo morphology",Whole embryo culture (rat),,https://tsar.jrc.ec.europa.eu/test-method/tm1999-03,
Protocol,"Bovine Corneal Opacity and Permeability (BCOP) Assay - SOP of Microbiological Associates LTD., UK",124,Eye Irritation,"Animal Origin
Eye & Eye Parts","Corneal opacity
Corneal permeability",Cornea (bovine),,,
Protocol,The Isolated Perfused Porcine Skin Flap (IPPSF),125,Percutaneous Absorption,"Animal Origin
Perfused Skin","Cell viability
Flux (across skin models)
Relative absorption
Skin permeation",Skin (porcine flap),,,
Protocol,ReProComet Assay,126,Effects on the male fertility,"Cell Lines
Primary Cell Culture",DNA damage: strand breakage,"Sperm, cryopreserved",ReProTect,,
Method summary,Short Time Exposure (STE) Test - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Corneal Models",Cell viability,SIRC - Rabbit cornea epithelial cell line,,,
Protocol,Bovine Corneal Opacity and Permeability (BCOP) Assay,127,Eye Irritation,"Animal Origin
Eye & Eye Parts
Plants","Corneal opacity
Corneal permeability",Cornea (bovine),,,
Protocol,Toxicity Test on In Vitro Fertilisation of Bovine Oocytes,128,Effects on the female fertility,"Animal Origin
Primary Cell Culture",Oocyte fertilisation,"Bovine cumulus/oocyte complexes [COCs]
Sperm, cryopreserved",ReProTect,,
Protocol,Toxicity Test on In Vitro Maturation of Bovine Oocytes,129,Effects on the female fertility,"Animal Origin
Primary Cell Culture",Meiosis completion,Bovine cumulus/oocyte complexes [COCs],ReProTect,https://tsar.jrc.ec.europa.eu/test-method/tm2010-05,
Method summary,"Short-Term Isolated Cornea (Bovine, Porcine) Tests - Summary",1,Eye Irritation,"Animal Origin
Eye & Eye Parts","Corneal opacity
Corneal thickness","Cornea (bovine)
Cornea (porcine)",,,
Protocol,The Cytosensor Microphysiometer (CM) Toxicity Test,130,Eye Irritation,Cell Lines,Metabolic activity,"L-929 - Mouse subcutaneous connective tissue cell line
Potentiometric pH probe biosensor",,https://tsar.jrc.ec.europa.eu/test-method/tm2004-01,
Protocol,EpiSkinTM Skin Irritation Test15min - 42 hours,131,Skin Irritation and Corrosivity,"Human Origin
Primary Cell Culture
Reconstructed Models of Keratinocytes
TESTING STRATEGIES","Cell viability
Vital dye reduction: MTT to formazan",RHE EpiSkinM,,,Method documentation sheets
Protocol,GreenScreen HC TM Genotoxicity Test,132,Genotoxicity/Mutagenicity,"Cell Lines
Human Origin","Cell proliferation
Cell viability
DNA damage
Gene expression: Growth arrest and DNA damage 45 alpha (GADD45&#945;)
Reporter gene expression: Green fluorescent protein (GFP)",TK6 - Human lymphoblastoid cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2009-08,
Protocol,Human Whole Blood/Interleukin (IL)-1 Beta In Vitro Pyrogen Test (WBT),133,Pyrogenicity Testing,"Human Origin
HUMAN VOLUNTEERS
Primary Cell Culture","Mediator release: cytokines
Mediator release: Interleukin(IL)-1 <em>beta</em>","Whole blood, fresh (human)",,https://tsar.jrc.ec.europa.eu/test-method/tm2002-01,
Protocol,Human Cryopreserved Whole Blood/Interleukin (IL)-1 Beta In Vitro Pyrogen Test (Cryo-WBT),134,Pyrogenicity Testing,"Human Origin
HUMAN VOLUNTEERS
Primary Cell Culture",Mediator release: Interleukin(IL)-1 <em>beta</em>,"Whole blood, cryopreserved (human)",,https://tsar.jrc.ec.europa.eu/test-method/tm2002-02,
Protocol,SkinEthic TM Skin Irritation Test -42bis,135,Skin Irritation and Corrosivity,"Human Origin
HUMAN VOLUNTEERS
Reconstructed Models of Keratinocytes
TEST BATTERIES
TESTING STRATEGIES","Cell viability
Vital dye reduction: MTT to formazan",RHE SkinEthicTM,,https://tsar.jrc.ec.europa.eu/test-method/tm2008-02,Analytical method description
Protocol,In vitro Syrian Hamster Embryo Cell Transformation Assay (SHE CTA),136,Cell transformation,"Animal Origin
EMBRYO CULTURE
Primary Cell Culture","Cell proliferation
Cell viability
Cellular functional parameters
Colony formation
Morphological effects
Morphological transformation of cell colonies","Bhas 42 - Engineered mouse embryo BALB 3T3 cell line
Syrian hamster (Mesocricetus auratus) embryo cells - SHE",,"https://tsar.jrc.ec.europa.eu/test-method/tm2005-02
 https://tsar.jrc.ec.europa.eu/test-method/tm2005-03 
",Annexes
Protocol,In vitro BALB/c 3T3 Cell Transformation Assay (BALB/c 3T3 CTA),137,Cell transformation,Cell Lines,"Cell number
Colony formation
Morphological transformation of cell colonies",BALB/c 3T3 - Mouse fibroblast cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2004-07,Annexes
Method summary,Silicon Microphysiometer (SM) Assay or Cytosensor Microphysiometer (CM) Assay - Summary,97,Eye Irritation,"Animal Origin
Cell Lines
Human Origin",Metabolic activity,"L-929 - Mouse subcutaneous connective tissue cell line
NHEK - Normal human epidermal keratinocytes
Potentiometric pH probe biosensor",,,
Protocol,In vitro EpiDermTM Skin Irritation Test (EpiDerm SIT),138,Skin Irritation and Corrosivity,"Human Origin
Primary Cell Culture
Reconstructed Models of Keratinocytes
TESTING STRATEGIES","Cell viability
Mediator release: cytokines
Vital dye reduction: MTT to formazan",RHE EpiDermTM,,https://tsar.jrc.ec.europa.eu/test-method/tm2008-01,Test system supplier SOP
Protocol,BALB/c 3T3 Neutral Red Uptake Cytotoxicity Assay (3T3 NRU),139,Systemic Toxicity,"Animal Origin
Cell Lines","Cell viability
Vital dye uptake: Neutral Red (NRU)",BALB/c 3T3 - Mouse fibroblast cell line,ACuteTox,https://tsar.jrc.ec.europa.eu/test-method/tm2008-14,Data analysis template
Protocol,Fish Embryo Acute Toxicity Test with Zebrafish (ZFET),140,Aquatic Short-Term Toxicity,"Animal Origin
EMBRYO CULTURE",Embryo mortality,Newly fertilised zebrafish eggs,,https://tsar.jrc.ec.europa.eu/test-method/tm2006-01,Annexes
Protocol,Metabolic Stability,141,Systemic Toxicity,"Animal Origin
Human Origin
Primary Cell Culture
SUBCELLULAR FRACTION",Metabolic stability,"Hepatocytes (human)
Hepatocytes (rat)
Liver microsomes (human)
Liver microsomes (rat)
Liver S9 fractions (human)
Liver S9 fractions (rat)",ACuteTox,,Annex 1
Protocol,Permeability Assay on Caco-2 Cells,142,Systemic Toxicity,"Cell Lines
Human Origin",Permeability coefficient,Caco-2 - Human colorectal adenocarcinoma cell line,ACuteTox,https://tsar.jrc.ec.europa.eu/test-method/tm2013-01,
Protocol,Plasma Protein Binding Assay,143,Systemic Toxicity,Human Origin,Protein binding,Blood plasma (human),ACuteTox,,
Protocol,MTT cytotoxicity assay in primary rat hepatocytes,144,Systemic Toxicity,"Animal Origin
Primary Cell Culture","Cell viability
Vital dye reduction: MTT to formazan",Hepatocytes (rat),ACuteTox,,Annex 1- Study template
